lat,lon,category
25.06833999,121.52588,manufacture
25.06848001,121.4528,health
25.06873,121.5147,manufacture
25.06909,121.58847,manufacture
25.06914,121.45223,manufacture
25.06922998,121.58398,manufacture
25.06923712,121.5839347,manufacture
25.06927001,121.62214,manufacture
25.06930999,121.4489,manufacture
25.06943937,121.6615458,manufacture
25.06948001,121.49511,manufacture
25.06958001,121.59117,manufacture
25.0697073,121.5832949,pharma
25.06979521,121.5833773,manufacture
25.07008,121.58132,manufacture
25.07009001,121.62269,health
25.07011003,121.5828652,pharma
25.07017001,121.58081,manufacture
25.07086496,121.5748488,pharma
25.07114998,121.58108,manufacture
25.07132973,121.5817304,manufacture
25.07132973,121.5817304,manufacture
25.07171999,121.57806,manufacture
25.0719,121.63615,health
25.072381,121.4694728,manufacture
25.07267,121.57592,manufacture
25.07268999,121.57494,manufacture
25.07293998,121.1777,manufacture
25.07321,121.5116,manufacture
25.07331,121.57864,manufacture
25.07332002,121.57831,manufacture
25.07403998,121.37172,manufacture
25.07406999,121.60654,manufacture
25.07434001,121.57454,manufacture
25.07452999,121.49087,pharma
25.07504587,121.5737113,health
25.07519002,121.5766,manufacture
25.07519002,121.5766,pharma
25.07519002,121.5766,manufacture
25.07529999,121.57558,health
25.07529999,121.57558,manufacture
25.07573053,121.5758855,health
25.07575001,121.49136,manufacture
25.07592,121.57482,manufacture
25.07616999,121.57495,manufacture
25.07638,121.57461,manufacture
25.07649001,121.57191,pharma
25.07649001,121.5726,health
25.07651,121.41337,manufacture
25.07731001,121.18931,manufacture
25.07731001,121.18368,manufacture
25.07731999,121.57255,health
25.07731999,121.57255,manufacture
25.07734002,121.5725,finance
25.07734002,121.5725,finance
25.07734002,121.5725,finance
25.07734002,121.5725,finance
25.07734002,121.5725,finance
25.07734002,121.5725,finance
25.07774,121.57245,manufacture
25.07808999,121.57049,manufacture
25.07808999,121.57049,manufacture
25.07828001,121.56647,manufacture
25.07838,121.57091,manufacture
25.07857002,121.57117,manufacture
25.07859001,121.57039,manufacture
25.07864001,121.56781,manufacture
25.07872002,121.58447,manufacture
25.07901571,121.567009,manufacture
25.07918999,121.57282,manufacture
25.07949002,121.57209,manufacture
25.07949002,121.57209,manufacture
25.07958,121.38598,manufacture
25.07959001,121.56478,manufacture
25.07959001,121.56478,manufacture
25.07959001,121.56478,manufacture
25.07969999,121.56727,pharma
25.07984,121.57177,pharma
25.07992998,121.56909,health
25.07992998,121.56909,manufacture
25.08007,121.47636,manufacture
25.08007,121.5699,health
25.08025001,121.56683,manufacture
25.08025001,121.56683,health
25.08025001,121.56683,manufacture
25.08025001,121.56683,manufacture
25.08025001,121.56683,manufacture
25.0803,121.56588,health
25.08036002,121.5657,health
25.08036999,121.56982,health
25.08058,121.56782,health
25.08061001,121.57026,manufacture
25.08064002,121.5729,manufacture
25.08064002,121.5729,manufacture
25.08077999,121.56794,manufacture
25.08086,121.56959,manufacture
25.08092001,121.57074,manufacture
25.08153998,121.56546,health
25.08181,121.52274,manufacture
25.08199998,121.57838,pharma
25.08212001,121.56346,manufacture
25.08217998,121.56232,manufacture
25.08258001,121.56188,manufacture
25.08320999,121.59302,manufacture
25.08322998,121.2854,manufacture
25.08358998,121.56225,health
25.083675,121.5931136,health
25.083675,121.5931136,manufacture
25.083675,121.5931136,pharma
25.083675,121.5931136,manufacture
25.083675,121.5931136,health
25.083675,121.5931136,health
25.083675,121.5931136,pharma
25.083675,121.5931136,health
25.083675,121.5931136,manufacture
25.083675,121.5931136,health
25.083675,121.5931136,pharma
25.083675,121.5931136,manufacture
25.083675,121.5931136,manufacture
25.083675,121.5931136,manufacture
25.083675,121.5931136,pharma
25.083675,121.5931136,manufacture
25.083675,121.5931136,manufacture
25.083675,121.5931136,manufacture
25.083675,121.5931136,manufacture
25.08504001,121.47767,manufacture
25.08555001,121.56094,health
25.08576002,121.51081,manufacture
25.08585281,121.5221654,manufacture
25.08591496,121.5056471,manufacture
25.08599999,121.52152,finance
25.08601998,121.56142,manufacture
25.08891999,121.52646,finance
25.09190001,121.27682,pharma
25.09190001,121.27682,pharma
25.09231001,121.51886,manufacture
25.09231001,121.51886,manufacture
25.10506999,121.52498,manufacture
25.11038001,121.69054,manufacture
25.11140998,121.85537,health
25.11357,121.26332,pharma
25.12548999,121.49892,manufacture
25.13145297,121.7354042,manufacture
25.13549337,121.5288907,pharma
25.13696581,121.542475,manufacture
25.14225159,121.4659104,pharma
25.15456999,121.45958,manufacture
25.16405999,121.54201,health
25.16855,121.44589,manufacture
25.16855,121.44589,manufacture
25.16855,121.44589,health
25.16886998,121.44555,finance
25.18007803,121.4515925,manufacture
25.18046691,121.4525824,manufacture
25.18169002,121.47524,health
25.22264002,121.63629,finance
